wavelength,TDsmURFP ex,TDsmURFP em
500,0.0242,0.0
501,0.0243,0.0
502,0.0244,0.0
503,0.0265,0.0
504,0.0286,0.0
505,0.0294,0.0
506,0.0302,0.0
507,0.032,0.0
508,0.0337,0.0
509,0.0348,0.0
510,0.0359,0.0
511,0.0363,0.0
512,0.0367,0.0
513,0.039,0.0
514,0.0412,0.0
515,0.0456,0.0
516,0.0499,0.0
517,0.0496,0.0
518,0.0493,0.0
519,0.0508,0.0
520,0.0523,0.0
521,0.0548,0.0
522,0.0572,0.0
523,0.061,0.0
524,0.0648,0.0
525,0.067,0.0
526,0.0691,0.0
527,0.0718,0.0
528,0.0746,0.0
529,0.0792,0.0
530,0.0839,0.0
531,0.084,0.0
532,0.0841,0.0
533,0.0894,0.0
534,0.0948,0.0
535,0.0989,0.0
536,0.103,0.0
537,0.1065,0.0
538,0.11,0.0
539,0.1135,0.0
540,0.117,0.0
541,0.1245,0.0
542,0.132,0.0
543,0.1345,0.0
544,0.137,0.0
545,0.1415,0.0
546,0.146,0.0
547,0.1495,0.0
548,0.153,0.0
549,0.161,0.0
550,0.169,0.0001
551,0.1735,0.0
552,0.178,0.0
553,0.1795,0.0
554,0.181,0.0001
555,0.187,0.0
556,0.193,0.0
557,0.2015,0.0
558,0.21,0.0
559,0.219,0.0
560,0.228,0.0
561,0.2375,0.0
562,0.247,0.0
563,0.254,0.0
564,0.261,0.0
565,0.272,0.0
566,0.283,0.0
567,0.292,0.0
568,0.301,0.0001
569,0.313,0.0
570,0.325,0.0
571,0.3345,0.0
572,0.344,0.0
573,0.3595,0.0
574,0.375,0.0001
575,0.3885,0.0
576,0.402,0.0
577,0.413,0.0001
578,0.424,0.0002
579,0.4395,0.0001
580,0.455,0.0001
581,0.467,0.0001
582,0.479,0.0002
583,0.495,0.0001
584,0.511,0.0001
585,0.523,0.0001
586,0.535,0.0002
587,0.541,0.0002
588,0.547,0.0002
589,0.5615,0.0003
590,0.576,0.0003
591,0.5825,0.0003
592,0.589,0.0002
593,0.595,0.0003
594,0.601,0.0004
595,0.6135,0.0005
596,0.626,0.0007
597,0.6215,0.0007
598,0.617,0.0008
599,0.6285,0.001
600,0.64,0.0011
601,0.594,0.0011
602,0.548,0.0011
603,0.5485,0.0011
604,0.549,0.0012
605,0.553,0.0016
606,0.557,0.0019
607,0.57,0.0023
608,0.583,0.0026
609,0.6,0.0031
610,0.617,0.0037
611,0.625,0.0041
612,0.633,0.0045
613,0.6455,0.0055
614,0.658,0.0065
615,0.677,0.0069
616,0.696,0.0074
617,0.702,0.0093
618,0.708,0.0113
619,0.7225,0.0131
620,0.737,0.015
621,0.7555,0.0168
622,0.774,0.0185
623,0.7915,0.0218
624,0.809,0.0252
625,0.8205,0.0286
626,0.832,0.0319
627,0.853,0.0374
628,0.874,0.043
629,0.897,0.048
630,0.92,0.053
631,0.92,0.0622
632,0.92,0.0713
633,0.933,0.0822
634,0.946,0.093
635,0.958,0.1035
636,0.97,0.114
637,0.9835,0.133
638,0.997,0.152
639,0.9945,0.1825
640,0.992,0.213
641,0.996,0.2275
642,1.0,0.242
643,0.9965,0.2615
644,0.993,0.281
645,0.984,0.3125
646,0.975,0.344
647,0.9645,0.3755
648,0.954,0.407
649,0.9365,0.4445
650,0.919,0.482
651,0.9005,0.5225
652,0.882,0.563
653,0.8545,0.598
654,0.827,0.633
655,0.804,0.6735
656,0.781,0.714
657,0.7305,0.739
658,0.68,0.764
659,0.646,0.7965
660,0.612,0.829
661,0.5775,0.8565
662,0.543,0.884
663,0.508,0.902
664,0.473,0.92
665,0.4435,0.941
666,0.414,0.962
667,0.3855,0.977
668,0.357,0.992
669,0.3265,0.9945
670,0.296,0.997
671,0.2745,0.9985
672,0.253,1.0
673,0.231,0.9925
674,0.209,0.985
675,0.192,0.9835
676,0.175,0.982
677,0.1615,0.957
678,0.148,0.932
679,0.1325,0.9155
680,0.117,0.899
681,0.1066,0.8815
682,0.0962,0.864
683,0.0884,0.8415
684,0.0806,0.819
685,0.0728,0.799
686,0.0649,0.779
