wavelength,iRFP682 ex,iRFP682 em
535,0.0611,
536,0.0615,
537,0.062,
538,0.0632,
539,0.0648,
540,0.067,
541,0.0697,
542,0.0729,
543,0.0765,
544,0.0806,
545,0.0849,
546,0.0895,
547,0.0941,
548,0.0988,
549,0.1034,
550,0.108,
551,0.1125,
552,0.1171,
553,0.1216,
554,0.1261,
555,0.1306,
556,0.1351,
557,0.1395,
558,0.1438,
559,0.148,
560,0.1522,
561,0.1563,
562,0.1604,
563,0.1646,
564,0.1689,
565,0.1734,
566,0.1782,
567,0.1832,
568,0.1886,
569,0.1942,
570,0.2002,
571,0.2063,
572,0.2125,
573,0.2188,
574,0.2251,
575,0.2313,
576,0.2375,
577,0.2438,
578,0.2502,
579,0.2566,
580,0.263,
581,0.2693,
582,0.2754,
583,0.2813,
584,0.2871,
585,0.293,
586,0.2992,
587,0.3058,
588,0.313,
589,0.3208,
590,0.3291,
591,0.3381,
592,0.3474,
593,0.3571,
594,0.3671,
595,0.3771,
596,0.3871,
597,0.397,
598,0.4066,
599,0.416,
600,0.425,
601,0.4337,
602,0.4421,
603,0.4501,
604,0.4577,
605,0.4649,
606,0.4717,
607,0.4782,
608,0.4843,
609,0.4902,
610,0.4958,
611,0.5011,
612,0.5062,
613,0.5112,
614,0.5162,
615,0.5217,
616,0.5276,
617,0.5344,
618,0.5419,
619,0.5502,
620,0.5589,
621,0.568,
622,0.5773,
623,0.5865,
624,0.5956,
625,0.6044,
626,0.6129,
627,0.6211,
628,0.6292,
629,0.6372,
630,0.6453,
631,0.654,
632,0.6633,
633,0.6734,
634,0.6846,
635,0.6969,
636,0.7102,
637,0.7242,
638,0.7389,
639,0.754,
640,0.7695,0.0717
641,0.785,0.0734
642,0.8007,0.0755
643,0.8163,0.0795
644,0.832,0.0843
645,0.8475,0.0902
646,0.8628,0.0968
647,0.8776,0.1042
648,0.892,0.1126
649,0.9056,0.1221
650,0.9187,0.1327
651,0.9311,0.1447
652,0.9428,0.158
653,0.9538,0.1727
654,0.9641,0.1891
655,0.9735,0.2073
656,0.9819,0.2272
657,0.989,0.249
658,0.9946,0.2729
659,0.9983,0.2987
660,1.0,0.3268
661,0.9994,0.3572
662,0.9963,0.3896
663,0.9907,0.424
664,0.9825,0.4603
665,0.9717,0.4983
666,0.9584,0.5378
667,0.9428,0.5789
668,0.9251,0.6208
669,0.9057,0.6632
670,0.8849,0.7052
671,0.8629,0.7462
672,0.8402,0.7855
673,0.8169,0.823
674,0.7931,0.8577
675,0.7686,0.8893
676,0.7434,0.9179
677,0.717,0.9425
678,0.6892,0.9628
679,0.6598,0.9789
680,0.6287,0.9905
681,0.5961,0.9973
682,0.5624,1.0
683,0.5283,0.9982
684,0.4945,0.9924
685,0.4616,0.9827
686,0.4301,0.9692
687,0.4007,0.9521
688,0.3734,0.9322
689,0.3483,0.9095
690,0.3254,0.8852
691,0.3046,0.8596
692,0.2857,0.8334
693,0.2686,0.807
694,0.2533,0.7811
695,0.2394,0.7554
696,0.2269,0.7303
697,0.2155,0.7063
698,0.205,0.6833
699,0.1951,0.6614
700,0.1856,0.6407
701,0.1764,0.6213
702,0.1675,0.6028
703,0.1588,0.5853
704,0.1504,0.5687
705,0.1421,0.5532
706,0.1342,0.5387
707,0.1265,0.5251
708,0.1191,0.5124
709,0.1122,0.5001
710,0.1057,0.4884
711,0.0998,0.4769
712,0.0945,0.4657
713,0.09,0.4546
714,,0.4439
715,,0.4333
716,,0.4232
717,,0.4135
718,,0.4043
719,,0.3954
720,,0.3871
721,,0.379
722,,0.371
723,,0.363
724,,0.3546
725,,0.3463
726,,0.3381
727,,0.33
728,,0.3225
729,,0.316
730,,0.3103
731,,0.3054
732,,0.3012
733,,0.2973
734,,0.2936
735,,0.2896
736,,0.2857
737,,0.282
738,,0.2783
739,,0.2747
740,,0.2713
741,,0.268
742,,0.2645
743,,0.2612
744,,0.2581
745,,0.2548
746,,0.2519
747,,0.249
748,,0.2458
749,,0.2425
750,,0.2396
751,,0.2367
752,,0.2339
753,,0.2316
754,,0.2295
755,,0.227
756,,0.224
757,,0.2207
758,,0.2168
759,,0.2124
760,,0.2078
761,,0.2033
762,,0.1988
763,,0.1945
764,,0.1905
765,,0.1868
766,,0.183
767,,0.179
768,,0.1751
769,,0.1712
770,,0.1666
771,,0.1621
772,,0.1578
773,,0.1533
774,,0.1488
775,,0.1449
776,,0.1411
777,,0.1375
778,,0.1338
779,,0.1303
780,,0.127
781,,0.1236
782,,0.1199
783,,0.1166
784,,0.1133
785,,0.1097
786,,0.1065
787,,0.1035
788,,0.1007
789,,0.098
790,,0.0956
791,,0.0932
792,,0.0912
793,,0.0889
794,,0.0867
795,,0.0849
796,,0.0829
797,,0.0809
798,,0.0791
799,,0.0783
800,,0.0773
