wavelength,mNeonGreen ex,mNeonGreen em
350,0.01,
351,0.0103,
352,0.0101,
353,0.0091,
354,0.0095,
355,0.0094,
356,0.0093,
357,0.0095,
358,0.009,
359,0.009,
360,0.0087,
361,0.0088,
362,0.0089,
363,0.0083,
364,0.0086,
365,0.0079,
366,0.0077,
367,0.0082,
368,0.0075,
369,0.0077,
370,0.0082,
371,0.0081,
372,0.0079,
373,0.008,
374,0.008,
375,0.008,
376,0.0078,
377,0.0079,
378,0.0079,
379,0.0084,
380,0.0081,
381,0.0083,
382,0.0088,
383,0.0085,
384,0.0087,
385,0.0091,
386,0.0089,
387,0.0091,
388,0.0092,
389,0.0094,
390,0.0097,
391,0.0098,
392,0.0102,
393,0.0102,
394,0.0106,
395,0.0108,
396,0.0112,
397,0.0115,
398,0.0119,
399,0.0123,
400,0.0129,
401,0.0133,
402,0.0133,
403,0.0138,
404,0.0142,
405,0.0149,
406,0.0157,
407,0.0163,
408,0.0172,
409,0.0177,
410,0.0181,
411,0.0191,
412,0.0199,
413,0.0207,
414,0.0218,
415,0.0225,
416,0.0238,
417,0.0248,
418,0.0259,
419,0.0274,
420,0.0286,
421,0.03,
422,0.0315,
423,0.0334,
424,0.0352,
425,0.0369,
426,0.0393,
427,0.0414,
428,0.0437,
429,0.0459,
430,0.0487,
431,0.0513,
432,0.0544,
433,0.0576,
434,0.0612,
435,0.0649,
436,0.0684,
437,0.0726,
438,0.0767,
439,0.0815,
440,0.0861,
441,0.0908,
442,0.0959,
443,0.1011,
444,0.1066,
445,0.1122,
446,0.1178,
447,0.1241,
448,0.1305,
449,0.1369,
450,0.144,
451,0.1514,
452,0.1592,
453,0.1676,
454,0.1764,
455,0.1858,
456,0.1961,
457,0.2065,
458,0.2178,
459,0.2297,
460,0.2421,
461,0.255,
462,0.2689,
463,0.2835,
464,0.2987,
465,0.3142,
466,0.3302,
467,0.3468,
468,0.3633,
469,0.3798,
470,0.3957,
471,0.4113,
472,0.4261,0.0037
473,0.4399,0.0017
474,0.4528,0.0015
475,0.464,0.0015
476,0.4743,0.0017
477,0.4838,0.0019
478,0.4924,0.0023
479,0.5007,0.0026
480,0.5088,0.0031
481,0.5171,0.0037
482,0.5264,0.0044
483,0.537,0.0052
484,0.5492,0.0065
485,0.5628,0.0079
486,0.5784,0.0095
487,0.5958,0.0118
488,0.6152,0.0147
489,0.6363,0.0181
490,0.6589,0.0224
491,0.6831,0.0277
492,0.7093,0.0341
493,0.7365,0.0424
494,0.7649,0.0531
495,0.7945,0.065
496,0.8246,0.0796
497,0.8548,0.0977
498,0.8847,0.1195
499,0.9131,0.1456
500,0.9397,0.1768
501,0.9625,0.2127
502,0.9814,0.2526
503,0.9941,0.2996
504,1.0,0.3505
505,0.9983,0.4066
506,0.9879,0.4683
507,0.9676,0.5319
508,0.9378,0.5959
509,0.8983,0.664
510,0.85,0.731
511,0.7935,0.7927
512,0.7302,0.8533
513,0.6627,0.9064
514,0.5931,0.9475
515,0.5229,0.9767
516,0.4548,0.9945
517,0.3905,1.0
518,0.3311,0.9928
519,0.278,0.976
520,0.2307,0.954
521,0.1904,0.924
522,0.1562,0.8887
523,0.1271,0.8491
524,0.1031,0.8077
525,0.0833,0.7647
526,0.0675,0.7233
527,0.0547,0.6846
528,0.0441,0.6481
529,0.0361,0.6131
530,0.0292,0.5814
531,0.024,0.5527
532,0.0195,0.5236
533,0.0158,0.499
534,0.013,0.4767
535,0.0105,0.4546
536,0.0089,0.4336
537,0.0072,0.4145
538,0.0059,0.3973
539,0.0049,0.3816
540,0.0043,0.3671
541,0.0033,0.3554
542,0.003,0.344
543,0.0023,0.3331
544,0.0021,0.3234
545,0.0019,0.3147
546,0.0015,0.3061
547,0.0014,0.2997
548,0.0012,0.2931
549,0.0008,0.2873
550,0.0009,0.281
551,0.0007,0.2747
552,0.0005,0.2681
553,0.0006,0.2615
554,0.0005,0.2533
555,0.0003,0.2462
556,0.0004,0.2384
557,0.0002,0.2307
558,0.0001,0.2228
559,0.0001,0.2153
560,0.0002,0.2067
561,0.0001,0.1979
562,0.0002,0.1888
563,0.0,0.18
564,0.0,0.171
565,0.0,0.1634
566,0.0002,0.1552
567,0.0,0.1477
568,0.0,0.1408
569,0.0,0.1334
570,0.0,0.126
571,0.0,0.1204
572,0.0,0.1144
573,0.0,0.1081
574,0.0,0.1026
575,0.0001,0.097
576,0.0,0.0918
577,0.0,0.0868
578,0.0,0.0823
579,0.0,0.0783
580,0.0,0.0744
581,0.0,0.0707
582,0.0,0.0673
583,0.0,0.0642
584,0.0,0.0616
585,0.0,0.0591
586,0.0,0.0562
587,0.0,0.0533
588,0.0,0.0512
589,0.0,0.0488
590,0.0,0.0467
591,0.0,0.0449
592,0.0001,0.0433
593,0.0,0.0416
594,0.0,0.0398
595,0.0,0.0382
596,0.0,0.0365
597,0.0,0.0351
598,0.0,0.0336
599,0.0,0.0323
600,0.0,0.0312
601,,0.0303
602,,0.029
603,,0.0279
604,,0.0267
605,,0.0256
606,,0.0243
607,,0.0233
608,,0.0222
609,,0.0215
610,,0.0205
611,,0.0197
612,,0.0189
613,,0.0181
614,,0.0173
615,,0.0166
616,,0.0157
617,,0.0149
618,,0.0143
619,,0.0136
620,,0.0128
621,,0.0122
622,,0.0117
623,,0.011
624,,0.0105
625,,0.0101
626,,0.0095
627,,0.009
628,,0.0084
629,,0.0079
630,,0.0075
631,,0.0072
632,,0.0069
633,,0.0066
634,,0.0063
635,,0.0061
636,,0.0058
637,,0.0056
638,,0.0054
639,,0.0051
640,,0.0048
641,,0.0047
642,,0.0045
643,,0.0042
644,,0.0041
645,,0.004
646,,0.0037
647,,0.0035
648,,0.0033
649,,0.0031
650,,0.003
651,,0.0029
652,,0.0028
653,,0.0027
654,,0.0026
655,,0.0025
656,,0.0025
657,,0.0023
658,,0.0022
659,,0.0022
660,,0.0021
661,,0.0019
662,,0.0019
663,,0.0019
664,,0.0018
665,,0.0018
666,,0.0017
667,,0.0016
668,,0.0015
669,,0.0014
670,,0.0013
671,,0.0013
672,,0.0012
673,,0.0012
674,,0.0011
675,,0.0011
676,,0.0011
677,,0.001
678,,0.001
679,,0.0011
680,,0.001
681,,0.0009
682,,0.0009
683,,0.0009
684,,0.0008
685,,0.0008
686,,0.0008
687,,0.0007
688,,0.0006
689,,0.0007
690,,0.0006
691,,0.0006
692,,0.0006
693,,0.0006
694,,0.0005
695,,0.0006
696,,0.0006
697,,0.0006
698,,0.0006
699,,0.0006
700,,0.0005
701,,0.0005
702,,0.0005
703,,0.0005
704,,0.0005
705,,0.0005
706,,0.0005
707,,0.0005
708,,0.0004
709,,0.0004
710,,0.0004
711,,0.0003
712,,0.0003
713,,0.0003
714,,0.0003
715,,0.0003
716,,0.0004
717,,0.0004
718,,0.0004
719,,0.0004
720,,0.0004
721,,0.0003
722,,0.0003
723,,0.0002
724,,0.0003
725,,0.0003
726,,0.0003
727,,0.0003
728,,0.0003
729,,0.0002
730,,0.0002
731,,0.0002
732,,0.0003
733,,0.0003
734,,0.0003
735,,0.0003
736,,0.0003
737,,0.0002
738,,0.0002
739,,0.0002
740,,0.0002
741,,0.0002
742,,0.0002
743,,0.0002
744,,0.0002
745,,0.0002
746,,0.0002
747,,0.0002
748,,0.0002
