wavelength,miRFP670 ex,miRFP670 em
520,0.0572,
521,0.06,
522,0.0629,
523,0.0657,
524,0.0686,
525,0.0714,
526,0.0743,
527,0.0771,
528,0.08,
529,0.0828,
530,0.0857,
531,0.0885,
532,0.0914,
533,0.0942,
534,0.0979,
535,0.1015,
536,0.1052,
537,0.1089,
538,0.1126,
539,0.1163,
540,0.12,
541,0.1237,
542,0.1273,
543,0.1313,
544,0.1353,
545,0.1394,
546,0.1434,
547,0.1474,
548,0.1514,
549,0.1555,
550,0.1595,
551,0.1635,
552,0.1675,
553,0.1716,
554,0.1767,
555,0.183,
556,0.1894,
557,0.1957,
558,0.2021,
559,0.2094,
560,0.217,
561,0.2245,
562,0.232,
563,0.2401,
564,0.2482,
565,0.2564,
566,0.2651,
567,0.2743,
568,0.2836,
569,0.2928,
570,0.302,
571,0.3112,
572,0.3205,
573,0.3311,
574,0.342,
575,0.3528,
576,0.3637,
577,0.3745,
578,0.385,
579,0.3952,
580,0.4054,
581,0.4174,
582,0.4296,
583,0.4411,
584,0.4506,
585,0.4601,
586,0.47,
587,0.4802,
588,0.4904,
589,0.4997,
590,0.5089,
591,0.5182,
592,0.5269,
593,0.5354,
594,0.5438,
595,0.5523,
596,0.5604,
597,0.5682,
598,0.5761,
599,0.5839,
600,0.5914,
601,0.5986,
602,0.6059,
603,0.6131,
604,0.6206,
605,0.6282,
606,0.6358,0.0098
607,0.6439,0.0111
608,0.6534,0.0124
609,0.6629,0.0137
610,0.6742,0.015
611,0.6864,0.0163
612,0.6986,0.0176
613,0.7114,0.0189
614,0.7243,0.0202
615,0.7376,0.0215
616,0.7518,0.0232
617,0.7661,0.0249
618,0.7799,0.0266
619,0.7934,0.0283
620,0.807,0.03
621,0.8179,0.0317
622,0.8287,0.0334
623,0.8405,0.0367
624,0.854,0.0406
625,0.8676,0.0445
626,0.8794,0.0484
627,0.8902,0.0523
628,0.9011,0.0569
629,0.9126,0.064
630,0.9241,0.0711
631,0.9352,0.0782
632,0.9456,0.0861
633,0.9559,0.0962
634,0.9662,0.1063
635,0.9732,0.1205
636,0.9803,0.1352
637,0.9873,0.1517
638,0.9907,0.1686
639,0.9923,0.187
640,0.9939,0.2064
641,0.9956,0.2278
642,0.9972,0.25
643,0.9988,0.2736
644,1.0,0.3008
645,0.9923,0.3288
646,0.9845,0.3598
647,0.9768,0.3895
648,0.9685,0.4199
649,0.9548,0.453
650,0.9412,0.4862
651,0.923,0.5235
652,0.8992,0.5579
653,0.878,0.5977
654,0.8597,0.6335
655,0.826,0.6715
656,0.8018,0.7031
657,0.7783,0.7415
658,0.7493,0.7758
659,0.7149,0.806
660,0.6867,0.8343
661,0.6559,0.8654
662,0.6244,0.8911
663,0.5969,0.9161
664,0.5641,0.9355
665,0.531,0.9541
666,0.498,0.9686
667,0.465,0.9831
668,0.4375,0.9897
669,0.4061,0.9948
670,0.3774,1.0
671,0.3551,0.9995
672,0.329,0.9951
673,0.306,0.9907
674,0.2841,0.984
675,0.2625,0.9728
676,0.2433,0.9616
677,0.2241,0.9487
678,0.2049,0.9342
679,0.1903,0.9191
680,0.1766,0.9016
681,0.1635,0.8839
682,0.1531,0.8654
683,0.1427,0.847
684,0.1323,0.8285
685,0.1244,0.8095
686,0.1168,0.7901
687,0.1092,0.7714
688,0.1016,0.753
689,0.0948,0.7346
690,0.088,0.7161
691,0.0812,0.6987
692,0.0745,0.6815
693,0.0683,0.666
694,0.0635,0.6505
695,0.0587,0.6349
696,0.0539,0.6202
697,0.0491,0.6066
698,0.0444,0.5931
699,0.0409,0.5795
700,0.0375,0.5663
701,0.0341,0.5534
702,0.0307,0.5413
703,0.0273,0.5305
704,0.0246,0.5197
705,0.0222,0.5095
706,0.0199,0.4996
707,0.0176,0.4898
708,0.0153,0.4801
709,0.0138,0.4704
710,0.0124,0.4607
711,0.011,0.452
712,0.0095,0.4443
713,0.0081,0.4365
714,,0.4287
715,,0.421
716,,0.4137
717,,0.4066
718,,0.3996
719,,0.393
720,,0.3876
721,,0.3823
722,,0.3769
723,,0.3718
724,,0.3676
725,,0.3633
726,,0.3591
727,,0.3539
728,,0.3485
729,,0.3432
730,,0.3378
731,,0.3333
732,,0.3291
733,,0.3248
734,,0.3205
735,,0.316
736,,0.3115
737,,0.307
738,,0.3025
739,,0.2975
740,,0.2922
741,,0.2868
742,,0.2815
743,,0.2758
744,,0.2699
745,,0.2641
746,,0.2583
747,,0.2527
748,,0.2472
749,,0.2416
750,,0.2358
751,,0.2298
752,,0.2238
753,,0.2179
754,,0.2127
755,,0.2076
756,,0.2024
757,,0.197
758,,0.1914
759,,0.1858
760,,0.1802
761,,0.1747
762,,0.1693
763,,0.164
764,,0.1587
765,,0.1537
766,,0.1492
767,,0.1447
768,,0.1402
769,,0.1357
770,,0.1318
771,,0.1283
772,,0.1249
773,,0.1213
774,,0.1177
775,,0.1141
776,,0.1105
777,,0.1069
778,,0.1034
779,,0.0998
780,,0.0963
781,,0.0936
782,,0.0911
783,,0.0887
784,,0.0863
785,,0.0842
786,,0.0821
787,,0.08
788,,0.0779
789,,0.0757
790,,0.0735
791,,0.0713
792,,0.0691
793,,0.0672
794,,0.0657
795,,0.0642
796,,0.0628
797,,0.0613
798,,0.0597
799,,0.0582
800,,0.0566
801,,0.0551
802,,0.0535
803,,0.052
804,,0.0504
805,,0.049
806,,0.0477
807,,0.0464
808,,0.0451
809,,0.0438
810,,0.0426
811,,0.0413
812,,0.04
